Marcelo Camelo | Meu amor é teu
IZA | Pausa
Zélia Duncan | Alma
Delano | D T F
Raimundos | Mulher de Fases
Roberta Miranda | Estrada da Vida (Ao Vivo)
Tati Zaqui | Mascaradinha
Lia Clark | Tipo de Garota
Lexa | Provocar
Gonzaguinha | O Que É, O Que É?
Apanhador Só | Linda, Louca e Livre
Matheus e Kauan | Investimento
Mumuzinho | Dengo Nego
Carlinhos Brown | O Que Seria
Banda Calypso | A Lua Me Traiu
Clara Nunes | Canto das Três Raças
Matanza | Eu Não Gosto de Ninguém
Marcelo D2 | Desabafo / Deixa Eu Dizer
Eliane Elias | Time alone
Maglore | Dança Diferente
Daniela Araújo | Entrega
Sofia Oliveira | Me Beija
Ney Matogrosso | Sorte
Melim | Meu Abrigo
Babado Novo | Reggae Jamaicano
Ivete Sangalo | Simples Assim
MC Menor da VG | Cheque Vai, Cheque Vem
Knust | Freestyle do Guaxinim [FREE]
Gloria Groove | MAGENTA CA$H
Mart'nália | Cabide
Fagner | Espumas ao Vento
MC Guimê | Brazil We Flexing
Luiza Possi | Desejo Preferido
Bom Gosto | Patricinha do Olho Azul
Armandinho | Toca Uma Regueira Aí
Renato Russo | Boomerang Blues
Dudu Nobre | Liberdade, Liberdade Abre As Asas Sobre Nós
Laura Souguellis | Santo Espírito
Ana Muller | Me Cura
Diogo Nogueira | Espelho
Munhoz e Mariano | Camaro Amarelo
Fernando & Sorocaba | Madri
Milton Nascimento | San Vicente
MC Gustta | Remexendo
Baco Exu do Blues | 999
Planta e Raíz | Desde as Estrelas
Mumuzinho | Não Quero Despedida
Ivete Sangalo | No Groove (Pega, Pega, Pega)
Day e Lara | Mendigando Sentimento (Ao Vivo)
Calcinha Preta | Manchete dos Jornais
Dorival Caymmi | História de Pescadores
Preto no Branco | Ninguém Explica Deus
Mar Aberto | Logo Agora
Pikeno e Menor | Toda Toda
Thiaguinho | Ainda Bem
MC Th | Deixa
Barão Vermelho | Quando O Sol Bater Na Janela Do Seu Quarto
Rodolfo Abrantes | No teu jardim
Delano | I Adore U
Dilsinho | Refém
Grupo Fundo de Quintal | Frasco Pequeno
Alcione | O Mais Belo dos Belos
Bebel Gilberto | Aganjú
Padre Fábio de Melo | Oração da Manhã
Ana Nóbrega | Oh, Quão Lindo Esse Nome É
Mc Don Juan | Ôh Novinha
Charlie Brown Jr. | Ela Vai Voltar (Todos os Defeitos de Uma Mulher Perfeita)
MC Mirella | Poxa Crush
Toque no Altar | Se A Tua Voz Ouvir
Edi Rock | Sonhos em Construção
Mahmundi | Leve
Molejo | Cilada
Sérgio Mendes & Brasil'66 | Pretty World
Pk | Скажи им (Say To Them)
Kell Smith | Era uma Vez
Perera DJ | Aventura Noturna
Rodolfo Abrantes | O Dia Que Será Pra Sempre
Chitãozinho & Xororó | Evidências
Jade Baraldo | Brasa
Tom Zé | Augusta, Angélica e Consolação
Trio Parada Dura | Telefone mudo
Beth Carvalho | Dança da Solidão
Pedro Paulo e Alex | Fama de Pegador
Knust | Fantasmas
Nana Caymmi | Do Amor Impossível
Fernanda Brum | Espirito Santo
Gustavo Mioto | Brechó
Marcos Valle | Estrelar
Beto Guedes | Quando te vi
Fiduma & Jeca | Combina Certin
Mc Davi | Hoje Eu Lancei Uma Meca
Tribo da Periferia | Pianista da Rua 6
Scalene | ​cartão postal
André Valadão | Porque Ele Vive
Toquinho | O Bem Amado
Djonga | Olho de Tigre
Oficina G3 | Meus Próprios Meios
João Gilberto | Corcovado (Quiet Nights of Quiet Stars)
Paula Fernandes | Não Precisa
Mallu Magalhães | Você Não Presta
Johnny Hooker | Escolheu a Pessoa Errada para Humilhar
Jads & Jadson | Com Todos Menos Comigo
Ultraje a Rigor | Nós Vamos Invadir Sua Praia
Nelson Freire | Nocturne No.9 in B, Op.32 No.1
Zeeba | Live In the Moment
As Bahias e a Cozinha Mineira | Apologia às Virgens Mães
CPM 22 | Um Minuto para o Fim do Mundo
Marcos & Fernando | A Trepadeira Da Vizinha
Matheus e Kauan | Ao Vivo e A Cores
Victor e Léo | Borboletas
Oriente | Brasil Colônia
Bhaskar | Abraço Forte
Emicida | Mandume
Mano Brown | Mal de Amor
LIVIT | Give Me All You Got
Fly | Flyin’ Lo
MC Rahell | Não Te Culpo
